customer_id,total_count,total_amount,avg_amount,max_amount,min_amount
279,2,558,279,279,279
30,1,30,30,30,30
270,2,540,270,270,270
170,6,1020,170,170,170
176,2,352,176,176,176
224,5,1120,224,224,224
124,2,248,124,124,124
84,3,252,84,84,84
227,5,1135,227,227,227
153,3,459,153,153,153
204,1,204,204,204,204
110,1,110,110,110,110
10,4,40,10,10,10
133,6,798,133,133,133
61,2,122,61,61,61
196,3,588,196,196,196
41,3,123,41,41,41
90,5,450,90,90,90
253,6,1518,253,253,253
290,2,580,290,290,290
104,7,728,104,104,104
4,4,16,4,4,4
147,6,882,147,147,147
296,4,1184,296,296,296
247,6,1482,247,247,247
119,2,238,119,119,119
96,5,480,96,96,96
165,4,660,165,165,165
142,2,284,142,142,142
288,4,1152,288,288,288
282,4,1128,282,282,282
211,1,211,211,211,211
188,3,564,188,188,188
234,1,234,234,234,234
125,2,250,125,125,125
65,3,195,65,65,65
265,3,795,265,265,265
19,2,38,19,19,19
171,2,342,171,171,171
73,1,73,73,73,73
271,4,1084,271,271,271
25,5,125,25,25,25
36,4,144,36,36,36
179,5,895,179,179,179
105,2,210,105,105,105
228,3,684,228,228,228
205,2,410,205,205,205
85,1,85,85,85,85
136,4,544,136,136,136
62,5,310,62,62,62
13,5,65,13,13,13
42,5,210,42,42,42
291,2,582,291,291,291
242,4,968,242,242,242
5,7,35,5,5,5
254,5,1270,254,254,254
56,2,112,56,56,56
199,1,199,199,199,199
99,9,891,99,99,99
148,5,740,148,148,148
285,5,1425,285,285,285
262,2,524,262,262,262
168,3,504,168,168,168
191,3,573,191,191,191
116,3,348,116,116,116
139,2,278,139,139,139
162,2,324,162,162,162
185,1,185,185,185,185
231,6,1386,231,231,231
268,5,1340,268,268,268
122,6,732,122,122,122
128,5,640,128,128,128
22,3,66,22,22,22
76,4,304,76,76,76
222,3,666,222,222,222
202,5,1010,202,202,202
59,1,59,59,59,59
274,2,548,274,274,274
108,2,216,108,108,108
225,5,1125,225,225,225
82,1,82,82,82,82
251,3,753,251,251,251
33,3,99,33,33,33
39,8,312,39,39,39
16,1,16,16,16,16
182,3,546,182,182,182
88,1,88,88,88,88
159,1,159,159,159,159
208,3,624,208,208,208
53,7,371,53,53,53
294,6,1764,294,294,294
45,1,45,45,45,45
145,6,870,145,145,145
2,3,6,2,2,2
48,3,144,48,48,48
286,6,1716,286,286,286
263,1,263,263,263,263
94,3,282,94,94,94
240,3,720,240,240,240
117,3,351,117,117,117
140,2,280,140,140,140
163,4,652,163,163,163
257,5,1285,257,257,257
186,3,558,186,186,186
280,5,1400,280,280,280
17,2,34,17,17,17
31,1,31,31,31,31
217,6,1302,217,217,217
223,5,1115,223,223,223
269,1,269,269,269,269
123,2,246,123,123,123
60,3,180,60,60,60
226,3,678,226,226,226
297,1,297,297,297,297
83,2,166,83,83,83
177,6,1062,177,177,177
203,3,609,203,203,203
154,5,770,154,154,154
134,5,670,134,134,134
34,4,136,34,34,34
40,1,40,40,40,40
183,2,366,183,183,183
11,1,11,11,11,11
160,7,1120,160,160,160
111,7,777,111,111,111
54,7,378,54,54,54
103,4,412,103,103,103
91,1,91,91,91,91
289,7,2023,289,289,289
97,3,291,97,97,97
246,2,492,246,246,246
197,2,394,197,197,197
214,4,856,214,214,214
143,4,572,143,143,143
237,4,948,237,237,237
120,2,240,120,120,120
166,1,166,166,166,166
260,2,520,260,260,260
283,6,1698,283,283,283
220,7,1540,220,220,220
114,2,228,114,114,114
20,3,60,20,20,20
277,6,1662,277,277,277
68,2,136,68,68,68
80,1,80,80,80,80
28,5,140,28,28,28
174,2,348,174,174,174
74,1,74,74,74,74
131,4,524,131,131,131
249,4,996,249,249,249
180,6,1080,180,180,180
57,1,57,57,57,57
206,2,412,206,206,206
157,5,785,157,157,157
14,5,70,14,14,14
37,3,111,37,37,37
137,4,548,137,137,137
243,3,729,243,243,243
8,3,24,8,8,8
51,7,357,51,51,51
300,2,600,300,300,300
151,5,755,151,151,151
194,3,582,194,194,194
200,1,200,200,200,200
100,4,400,100,100,100
